iter	Passed	Remaining
0	57	57063
1	57	28635
2	57	19143
3	57	14404
4	58	11555
5	58	9658
6	58	8300
7	58	7284
8	58	6493
9	59	5861
10	59	5343
11	59	4910
12	59	4546
13	60	4230
14	60	3959
15	60	3722
16	60	3512
17	60	3326
18	61	3158
19	61	3009
20	61	2873
21	61	2754
22	62	2644
23	62	2543
24	62	2449
25	63	2362
26	63	2281
27	63	2207
28	63	2138
29	64	2073
30	64	2013
31	64	1955
32	64	1902
33	65	1851
34	65	1803
35	65	1758
36	65	1716
37	66	1675
38	66	1637
39	66	1600
40	66	1565
41	67	1532
42	67	1501
43	67	1471
44	67	1442
45	68	1414
46	68	1387
47	68	1360
48	68	1335
49	69	1311
50	69	1288
51	69	1266
52	69	1244
53	69	1224
54	70	1204
55	70	1185
56	70	1166
57	70	1148
58	70	1131
59	71	1116
60	71	1100
61	71	1084
62	71	1069
63	72	1054
64	72	1040
65	72	1026
66	72	1012
67	72	999
68	73	986
69	73	973
70	73	961
71	73	950
72	73	939
73	74	928
74	74	917
75	74	906
76	74	896
77	75	886
78	75	876
79	75	867
80	75	857
81	75	848
82	75	838
83	76	829
84	76	821
85	76	813
86	76	804
87	76	796
88	77	789
89	77	782
90	77	774
91	77	767
92	77	760
93	78	753
94	78	746
95	78	739
96	78	733
97	78	726
98	79	720
99	79	714
100	79	708
101	79	701
102	79	696
103	80	690
104	80	684
105	80	679
106	80	674
107	80	668
108	81	663
109	81	658
110	81	653
111	81	648
112	81	643
113	82	638
114	82	633
115	82	629
116	82	624
117	82	619
118	83	615
119	83	610
120	83	606
121	83	601
122	83	597
123	84	594
124	84	590
125	84	586
126	84	582
127	84	578
128	85	574
129	85	571
130	85	567
131	85	563
132	85	560
133	86	556
134	86	553
135	86	549
136	86	546
137	86	543
138	87	539
139	87	536
140	87	533
141	87	529
142	87	526
143	88	523
144	88	520
145	88	517
146	88	514
147	88	511
148	89	508
149	89	505
150	89	502
151	89	499
152	89	497
153	89	494
154	90	491
155	90	488
156	90	486
157	90	483
158	90	480
159	91	478
160	91	475
161	91	473
162	91	470
163	91	468
164	92	465
165	92	463
166	92	461
167	92	458
168	92	456
169	93	455
170	93	453
171	93	451
172	94	449
173	94	447
174	94	445
175	94	443
176	94	441
177	95	439
178	95	437
179	95	435
180	95	433
181	96	431
182	96	429
183	96	427
184	96	425
185	96	423
186	97	421
187	97	419
188	97	418
189	97	416
190	97	414
191	98	412
192	98	410
193	98	408
194	98	407
195	98	405
196	98	403
197	99	401
198	99	399
199	99	398
200	99	396
201	99	394
202	100	393
203	100	391
204	100	390
205	100	388
206	101	387
207	101	385
208	101	383
209	101	382
210	101	380
211	101	378
212	102	377
213	102	375
214	102	374
215	102	372
216	102	371
217	103	369
218	103	368
219	103	367
220	103	365
221	103	364
222	104	362
223	104	361
224	104	360
225	104	358
226	104	357
227	105	355
228	105	354
229	105	353
230	105	351
231	105	350
232	106	349
233	106	347
